#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,1.750992,2.085431,0.000000,1.995435,3.559104,0.366361,10.189022
0.000000,0.000000,1.616437,4.709665,0.000000,1.967395,3.633491,0.047913,13.300893
0.000000,0.000000,1.541702,2.690629,0.000000,3.525913,3.419766,0.368908,10.920876
0.000000,0.000000,1.590149,1.940909,0.000000,4.175196,3.309161,0.051318,12.063774
0.000000,0.000000,1.566121,2.041604,0.000000,1.725297,2.860486,0.364899,12.331044
0.000000,0.000000,1.589155,2.048526,0.000000,2.124031,2.624829,0.054144,9.632302
0.000000,0.000000,1.763688,1.963992,0.000000,1.401436,2.753508,0.376516,9.546933
0.000000,0.000000,1.746408,2.018218,0.000000,2.162391,4.039097,0.055631,9.343041
0.000000,0.000000,2.153490,2.049713,0.000000,1.625220,2.795929,0.347980,11.624233
0.000000,0.000000,1.553624,2.425033,0.000000,1.929563,3.014263,0.050553,9.873650
0.000000,0.000000,1.486372,2.067875,0.000000,1.421843,2.586142,0.371378,9.693300
0.000000,0.000000,3.623995,2.045887,0.000000,2.478261,3.423342,0.053732,11.097819
0.000000,0.000000,1.729585,2.640922,0.000000,3.305037,2.667677,0.051436,11.456235
0.000000,0.000000,2.017108,1.961949,0.000000,1.831674,2.992244,0.052044,11.084726
0.000000,0.000000,1.544864,1.925064,0.000000,1.339574,2.869444,0.386035,9.324239
0.000000,0.000000,1.813783,2.079175,0.000000,2.102877,3.533769,0.051415,9.575079
0.000000,0.000000,1.906862,1.900271,0.000000,1.421349,3.053321,0.054331,10.559349
0.000000,0.000000,1.533932,1.835082,0.000000,1.559344,2.711331,0.353603,8.909889
0.000000,0.000000,1.757531,2.425348,0.000000,2.071567,3.760129,0.050383,9.803141
0.000000,0.000000,1.664154,3.928278,0.000000,1.718843,2.854711,0.055663,12.543440
0.000000,0.000000,1.630447,3.685661,0.000000,3.046756,2.931607,0.353264,11.059849
0.000000,0.000000,1.570549,2.153455,0.000000,2.156879,3.445385,0.049388,11.083237
0.000000,0.000000,1.752791,1.867479,0.000000,1.251228,2.897389,0.047051,10.264978
0.000000,0.000000,1.656142,1.875745,0.000000,1.302189,2.996515,0.373932,8.744249
0.000000,0.000000,1.986824,2.006745,0.000000,2.137948,3.043075,0.052539,9.781930
0.000000,0.000000,1.915830,1.950404,0.000000,1.715530,3.095607,0.389167,10.173118
0.000000,0.000000,1.684773,1.986119,0.000000,1.672778,3.764936,0.058783,10.007647
0.000000,0.000000,3.608014,2.019616,0.000000,1.442097,2.929383,0.054858,12.324964
0.000000,0.000000,3.361906,2.003334,0.000000,1.320155,2.772133,0.453294,11.048594
0.000000,0.000000,1.506084,2.685799,0.000000,1.318930,3.350339,0.043452,9.932496
0.000000,0.000000,1.620653,2.231626,0.000000,1.171968,2.641312,0.360736,9.854889
0.000000,0.000000,1.764894,1.982131,0.000000,1.723212,3.369114,0.046008,8.982129
0.000000,0.000000,2.121740,1.923031,0.000000,1.311941,2.844012,0.310965,10.389014
0.000000,0.000000,1.666015,1.902873,0.000000,2.357633,3.568002,0.046223,8.998838
0.000000,0.000000,1.413152,2.310419,0.000000,1.451639,3.077504,0.361036,10.860391
0.000000,0.000000,2.962447,1.964548,0.000000,2.096141,3.271611,0.045255,10.897413
0.000000,0.000000,1.679003,3.721900,0.000000,1.299831,4.074262,0.390575,11.995213
0.000000,0.000000,1.633486,3.024478,0.000000,1.855545,3.698100,0.052539,11.585663
0.000000,0.000000,2.135872,2.961929,0.000000,3.966056,3.021014,0.412253,11.888463
